"Title","Tomatometer","Fresh","Audience.score","Rating","Parental.Control","Genre1","Genre2","Genre3","Director","Production","DirectorIsWriter","Runtime","Release.Date","Release.Year","Release.Season","Release.isWide"
"Dredd",79,"Yes",72,"R","No","scifi","action",NA,"PeteTravis","DNAFilms","No",96,2012-09-21,"2012","summer","Yes"
"The Possession",39,"No",48,"PG-13","No","horror","mysteryandthriller",NA,"OleBornedal","GhostHousePictures,LionsgateFilms","No",91,2012-08-31,"2012","summer","Yes"
"To Rome With Love",46,"No",40,"R","No","romance",NA,NA,"WoodyAllen","Medusa,PerdidoProductions,GravierProductions","Yes",111,2012-07-06,"2012","summer","Yes"
"House At The End Of The Street",13,"No",41,"PG-13","No","horror","mysteryandthriller",NA,"MarkTonderai","FilmNation,ABiggerBoat","No",101,2012-09-21,"2012","summer","Yes"
"Won't Back Down",35,"No",61,"PG","No","drama",NA,NA,"DanielBarnz","GranVia","No",121,2012-09-28,"2012","autumn","Yes"
"Whores' Glory",87,"Yes",74,"G","Yes","documentary",NA,NA,"MichaelGlawogger","ÖsterreichischerRundfunk(ORF)[at],Arte,LotusFilm,LivingFilms,QuinteFilm,ZweitesDeutschesFernsehen",NA,110,2012-04-27,"2012","spring","No"
"The Wise Kids",100,"Yes",66,"G","Yes","drama",NA,NA,"StephenCone","ConeArts","Yes",95,2016-03-24,"2016","spring",""
"Samsara",76,"Yes",87,"PG-13","No","music","documentary",NA,"RonFricke","BaliFilmCenter,BulletProductions,BangSingapore",NA,102,2012-08-24,"2012","summer","No"
"17 Girls",67,"Yes",39,"G","Yes","drama",NA,NA,"DelphineCoulin,MurielCoulin","DenisFreyd","Yes",90,2017-03-30,"2017","spring",""
"Taken 2",22,"No",52,"PG-13","No","action","mysteryandthriller",NA,"OlivierMegaton","EuropaCorp,GriveProductions,M6FilmsProduction","No",92,2012-10-05,"2012","autumn","Yes"
"After Fall, Winter",11,"No",69,"G","Yes","drama","romance",NA,"EricSchaeffer",NA,"Yes",131,2016-02-18,"2016","winter",""
"Hit & Run",48,"No",49,"R","No","action","comedy",NA,"DaxShepard,DavidPalmer","ExclusiveMedia,PanayFilms","No",95,2012-08-22,"2012","summer","Yes"
"Now Is Good",56,"No",64,"PG-13","No","drama","romance",NA,"OlParker","BlueprintPictures","Yes",103,2013-05-07,"2013","spring",""
"5 Broken Cameras",96,"Yes",88,"G","Yes","documentary",NA,NA,"EmadBurnat,GuyDavidi","GuyDavidi,EmadBurnat",NA,90,2012-05-03,"2012","spring","No"
"China Heavyweight",82,"Yes",60,"G","Yes","documentary",NA,NA,"YungChang","TelefilmCanada,CNEXFoundation,EyeSteelFilm,Channel4TelevisionCorporation","Yes",94,2012-07-06,"2012","summer","No"
"Compliance",89,"Yes",60,"R","No","mysteryandthriller",NA,NA,"CraigZobel","DogfishPictures,MuskatFilmedProperties","Yes",90,2016-08-10,"2016","summer",""
"Detropia",86,"Yes",63,"G","Yes","documentary",NA,NA,"HeidiEwing,RachelGrady","HeidiEwing,RachelGrady,CraigAtkinson",NA,90,2012-09-05,"2012","summer","No"
"The Other Dream Team",88,"Yes",88,"G","Yes","documentary",NA,NA,"MariusA.Markevicius","MariusA.Markevicius,JonWeinbach","No",88,2012-09-28,"2012","autumn","No"
"Farewell, My Queen",93,"Yes",56,"R","No","drama",NA,NA,"BenoîtJacquot","MorenaFilmsS.L.,Canal+,LesFilmsduLendemain,Procirep","No",100,2016-02-02,"2016","winter",""
"Game Change",68,"Yes",76,"TVMA","No","drama",NA,NA,"JayRoach","HBOFilms,PlaytoneProductions","No",118,2016-11-15,"2016","autumn",""
"Branded",9,"No",24,"R","No","scifi","mysteryandthriller",NA,"JamieBradshaw,AlexanderDoulerain","JamieBradshaw,AlexanderDoulerain","Yes",106,2012-09-07,"2012","summer","No"
"About Cherry",14,"No",16,"G","Yes","drama",NA,NA,"StephenElliott","EnderbyEntertainment","No",102,2012-09-21,"2012","summer","No"
"Stolen",20,"No",34,"R","No","action","mysteryandthriller",NA,"SimonWest","MillenniumFilms,SaturnFilms,NuImage","No",96,2012-09-14,"2012","summer","No"
"Excuse Me For Living",14,"No",15,"G","Yes","romance",NA,NA,"RicKlass","EMFLProductions","Yes",107,2012-10-12,"2012","autumn","No"
"Jab Tak Hai Jaan",89,"Yes",67,"G","Yes","drama","romance",NA,"YashChopra","AdityaChopra","No",176,2012-11-13,"2012","autumn","No"
"The Island",40,"No",51,"R","No","adventure",NA,NA,"MichaelRitchie","UniversalPictures",NA,114,2016-04-19,"2016","spring",""
"Jack And Diane",12,"No",20,"R","No","horror","drama","romance","BradleyRustGray","DeerjenFilms","Yes",93,2012-11-02,"2012","autumn","No"
